snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat,collcat
906,41,693,600,93,67,9,No,11,16,22,0,0,0,0,0,,76,24,247,47-80% free meals,1
889,41,570,501,69,92,21,No,33,15,32,0,0,0,0,0,,79,19,463,81-100% free meals,1
887,41,546,472,74,97,29,No,36,17,25,0,0,0,0,0,,68,29,395,81-100% free meals,1
876,41,571,487,84,90,27,No,27,20,30,36,45,9,9,0,1.91,87,11,418,81-100% free meals,1
888,41,478,425,53,89,30,No,44,18,31,50,50,0,0,0,1.5,87,13,520,81-100% free meals,1
4284,98,858,844,14,10,3,No,10,20,33,1,8,24,36,31,3.8900001,100,0,343,0-46% free meals,2
4271,98,918,864,54,5,2,No,16,19,28,1,4,18,34,43,4.1300001,100,0,303,0-46% free meals,2
2910,108,831,791,40,2,3,No,44,20,31,0,4,16,50,30,4.0599999,96,2,1513,0-46% free meals,2
2899,108,860,838,22,5,6,No,10,20,30,2,9,15,42,33,3.96,100,0,660,0-46% free meals,2
2887,108,737,703,34,29,15,No,17,21,29,8,25,34,27,7,2.98,96,7,362,0-46% free meals,3
2911,108,851,808,43,1,2,No,16,20,30,0,3,16,45,37,4.1500001,100,2,768,0-46% free meals,2
2882,108,536,496,40,71,69,No,8,21,27,61,15,6,10,8,1.9,100,6,404,47-80% free meals,1
2907,108,847,815,32,3,2,No,11,20,29,1,5,17,41,37,4.0799999,97,3,586,0-46% free meals,2
2908,108,765,711,54,13,8,No,19,21,27,5,34,27,31,3,2.9300001,98,2,633,0-46% free meals,3
2895,108,809,802,7,7,8,No,16,20,31,5,27,25,37,6,3.1199999,89,7,379,0-46% free meals,3
2880,108,813,780,33,22,11,No,12,21,32,10,35,23,27,6,2.8399999,100,0,417,0-46% free meals,2
2890,108,856,816,40,7,6,No,13,21,29,1,10,15,42,32,3.95,100,0,670,0-46% free meals,2
3948,131,712,677,35,40,12,Yes,19,19,30,14,30,31,19,6,2.71,85,12,589,0-46% free meals,3
3956,131,805,759,46,10,1,No,26,21,31,2,16,41,29,12,3.3099999,93,7,770,0-46% free meals,3
3947,131,678,632,46,37,16,Yes,16,20,32,12,27,29,27,6,2.8699999,83,15,694,0-46% free meals,3
3952,131,619,570,49,57,25,Yes,24,19,31,19,25,29,20,6,2.6800001,75,25,611,47-80% free meals,3
3954,131,713,704,9,29,14,Yes,14,20,30,11,29,28,26,7,2.8800001,80,15,594,0-46% free meals,3
3943,131,704,618,86,57,19,Yes,22,20,30,15,32,35,14,5,2.6199999,69,29,564,47-80% free meals,3
3945,131,523,452,71,69,43,Yes,31,19,29,32,34,18,12,4,2.22,71,29,645,47-80% free meals,2
4293,135,655,632,23,65,44,No,21,20,29,0,0,0,0,0,,100,0,414,47-80% free meals,1
4299,135,523,441,82,74,52,Yes,23,19,28,0,0,0,100,0,4,87,13,631,47-80% free meals,1
4318,135,521,473,48,74,63,No,15,19,31,0,0,0,0,0,,94,3,343,47-80% free meals,1
4319,135,709,701,8,18,16,No,20,17,27,0,0,0,0,0,,96,7,404,0-46% free meals,1
4296,135,505,452,53,75,59,No,27,19,30,0,0,0,0,0,,94,6,504,47-80% free meals,1
4317,135,762,744,18,18,16,No,15,20,30,0,100,0,0,0,2,100,0,512,0-46% free meals,1
4322,135,722,684,38,11,21,No,20,20,28,0,0,0,0,0,,95,5,637,0-46% free meals,1
4307,135,603,520,83,71,54,No,19,19,30,50,25,25,0,0,1.75,88,15,594,47-80% free meals,3
4302,135,657,579,78,67,36,No,17,19,30,22,44,33,0,0,2.1099999,100,0,500,47-80% free meals,3
4314,135,705,655,50,46,42,No,32,17,27,0,0,0,100,0,4,96,0,320,0-46% free meals,1
4292,135,754,748,6,25,25,No,18,20,27,13,40,33,0,13,2.5999999,100,4,309,0-46% free meals,3
4304,135,490,431,59,71,54,No,25,23,30,0,0,0,0,0,,65,43,748,47-80% free meals,1
4308,135,698,680,18,44,18,No,21,19,29,100,0,0,0,0,1,100,0,527,0-46% free meals,1
600,140,843,805,38,25,6,No,17,20,32,6,35,22,28,9,2.98,91,6,465,0-46% free meals,2
596,140,800,769,31,56,6,No,41,19,30,9,32,32,21,5,2.8199999,94,6,451,47-80% free meals,3
611,140,857,857,0,13,4,No,12,20,32,4,11,35,31,19,3.48,100,0,432,0-46% free meals,3
595,140,713,664,49,63,35,No,15,21,32,40,29,15,12,4,2.0899999,92,8,524,47-80% free meals,2
592,140,804,873,-69,38,8,No,33,21,35,10,30,35,20,5,2.79,97,3,427,0-46% free meals,3
602,140,864,831,33,24,5,No,35,21,35,4,19,33,30,14,3.3099999,100,3,562,0-46% free meals,3
5222,166,940,917,23,0,2,No,3,20,31,0,0,4,28,67,4.6199999,90,0,305,0-46% free meals,1
5210,166,792,779,13,9,3,No,19,20,31,2,5,17,38,38,4.0500002,84,0,467,0-46% free meals,2
5217,166,887,882,5,3,5,No,14,21,31,0,4,7,32,57,4.4200001,93,10,520,0-46% free meals,1
3644,209,775,726,49,26,13,No,18,21,33,4,10,35,36,16,3.51,93,7,816,0-46% free meals,3
3643,209,822,766,56,16,10,Yes,47,21,32,1,11,29,38,19,3.6300001,95,3,830,0-46% free meals,3
3624,209,806,745,61,21,6,Yes,25,19,30,5,30,28,21,16,3.1199999,90,5,487,0-46% free meals,3
3623,209,816,745,71,16,6,No,18,19,32,6,17,27,36,14,3.3499999,100,0,307,0-46% free meals,3
3629,209,553,485,68,86,38,Yes,32,20,32,33,28,27,8,4,2.2,95,5,819,81-100% free meals,3
3622,209,686,633,53,75,33,Yes,24,21,32,32,35,16,14,3,2.21,98,2,744,47-80% free meals,2
4017,238,483,444,39,79,40,Yes,24,20,28,37,27,27,7,3,2.1300001,87,13,672,47-80% free meals,3
58,248,801,765,36,20,12,No,18,19,30,7,16,25,36,15,3.3499999,89,14,416,0-46% free meals,3
70,248,753,694,59,25,19,No,14,21,29,10,22,19,34,16,3.25,85,20,286,0-46% free meals,2
65,248,903,889,14,7,8,No,21,22,30,1,9,15,34,41,4.0599999,77,23,488,0-46% free meals,2
657,253,454,443,11,100,53,Yes,21,19,29,47,33,11,8,0,1.8200001,93,11,656,81-100% free meals,1
697,253,440,428,12,100,67,Yes,19,19,29,58,26,12,3,1,1.64,88,19,577,81-100% free meals,1
646,253,519,491,28,93,33,No,19,19,29,43,27,19,10,1,2.01,100,5,523,81-100% free meals,2
640,253,512,477,35,84,33,Yes,24,19,29,27,35,21,16,2,2.3099999,98,10,672,81-100% free meals,2
629,253,525,522,3,92,41,Yes,15,19,30,45,34,14,6,1,1.85,98,2,678,81-100% free meals,1
659,253,486,480,6,90,44,Yes,27,19,30,47,32,12,8,2,1.85,94,15,680,81-100% free meals,1
699,253,437,409,28,90,70,Yes,17,19,29,64,20,8,7,0,1.59,93,15,700,81-100% free meals,1
637,253,447,409,38,100,51,No,22,20,29,61,19,15,4,2,1.67,100,7,396,81-100% free meals,2
663,253,518,499,19,86,22,No,18,19,29,15,36,27,19,2,2.5699999,93,13,495,81-100% free meals,3
633,253,479,466,13,100,59,Yes,21,19,30,59,26,9,5,1,1.63,94,10,929,81-100% free meals,1
690,253,424,343,81,100,36,No,20,17,26,46,28,16,10,0,1.91,87,20,205,81-100% free meals,2
2982,259,536,465,71,93,84,No,14,21,29,0,0,0,0,0,,92,8,570,81-100% free meals,1
3000,259,628,554,74,75,74,No,25,20,28,0,0,50,50,0,3.5,84,16,485,47-80% free meals,3
2997,259,627,546,81,71,71,No,15,20,33,39,24,15,20,2,2.22,96,4,410,47-80% free meals,2
3005,259,596,534,62,65,46,No,20,21,29,40,42,14,3,0,1.8099999,100,0,224,47-80% free meals,1
2972,259,664,617,47,72,71,No,13,19,30,19,30,26,23,2,2.5799999,91,13,306,47-80% free meals,3
3011,259,655,620,35,56,52,No,19,21,29,24,34,32,10,0,2.27,96,4,447,47-80% free meals,3
2977,259,616,566,50,75,65,No,23,21,31,34,31,15,19,1,2.22,93,7,432,47-80% free meals,2
3013,259,538,497,41,80,82,No,19,21,31,24,42,22,7,5,2.27,91,9,544,47-80% free meals,2
3024,259,727,670,57,60,50,No,24,21,30,21,24,17,25,12,2.8299999,100,0,547,47-80% free meals,2
3004,259,822,787,35,8,4,No,10,19,27,0,19,19,29,33,3.76,87,13,313,0-46% free meals,2
3010,259,638,569,69,80,71,No,11,20,31,64,30,4,2,0,1.4400001,93,7,705,47-80% free meals,1
2460,284,581,497,84,70,26,No,14,23,25,22,29,23,21,6,2.5999999,63,32,182,47-80% free meals,2
2479,284,784,739,45,23,25,No,21,21,36,5,21,20,44,10,3.3199999,58,25,166,0-46% free meals,2
2459,284,871,840,31,14,15,No,15,21,34,1,8,13,41,36,4.02,83,13,404,0-46% free meals,1
105,294,567,535,32,62,43,No,20,20,31,19,24,32,21,4,2.6700001,80,25,626,47-80% free meals,3
94,294,620,592,28,51,20,No,20,19,31,10,28,40,15,7,2.79,88,12,242,47-80% free meals,3
93,294,761,726,35,15,3,No,21,20,29,1,14,30,37,19,3.5999999,86,14,267,0-46% free meals,3
116,294,513,508,5,82,56,No,16,,31,25,36,26,10,4,2.3099999,46,42,558,81-100% free meals,3
3236,316,912,900,12,6,7,No,22,21,30,0,0,33,0,67,4.3299999,97,6,611,0-46% free meals,3
3240,316,883,821,62,7,20,No,35,19,31,0,0,0,100,0,4,100,0,440,0-46% free meals,1
3241,316,844,834,10,12,14,No,21,21,26,0,0,67,33,0,3.3299999,100,3,381,0-46% free meals,3
3256,316,880,841,39,11,7,No,11,21,31,0,50,50,0,0,2.5,90,3,503,0-46% free meals,3
3250,316,894,881,13,4,4,No,13,20,26,0,0,0,0,0,,97,0,466,0-46% free meals,1
3247,316,858,818,40,4,8,No,17,20,27,0,20,0,80,0,3.5999999,95,5,357,0-46% free meals,1
3258,316,847,817,30,7,7,No,17,20,31,0,0,0,0,0,,100,0,388,0-46% free meals,1
1497,395,604,529,75,100,68,Yes,12,20,35,48,33,13,6,1,1.78,37,53,591,81-100% free meals,1
1478,395,553,466,87,100,70,Yes,11,19,35,62,25,9,3,0,1.54,73,17,637,81-100% free meals,1
1474,395,657,567,90,64,19,No,25,19,32,23,46,17,14,1,2.24,90,3,403,47-80% free meals,2
1511,395,492,500,-8,89,48,No,42,18,31,32,32,24,10,2,2.1900001,44,47,810,81-100% free meals,2
1539,395,700,711,-11,80,51,No,11,20,34,26,27,30,13,4,2.4400001,83,14,295,47-80% free meals,3
1490,395,590,552,38,89,58,Yes,16,19,33,29,39,22,7,2,2.1300001,58,29,837,81-100% free meals,2
1500,395,777,752,25,37,11,No,15,20,34,4,32,23,31,10,3.1099999,84,9,669,0-46% free meals,2
1515,395,667,625,42,85,52,Yes,18,19,34,41,36,12,8,3,1.97,80,16,621,81-100% free meals,1
1512,395,769,752,17,47,20,No,17,16,25,16,11,30,30,13,3.1300001,95,5,467,47-80% free meals,3
1475,395,650,631,19,78,33,No,21,19,32,19,37,26,11,8,2.52,85,15,262,47-80% free meals,3
1522,395,561,427,134,100,86,Yes,8,20,35,44,37,14,5,0,1.8099999,48,31,795,81-100% free meals,1
1472,395,561,537,24,83,28,No,21,19,34,7,39,25,26,3,2.79,45,41,750,81-100% free meals,3
1516,395,597,543,54,100,71,Yes,15,20,34,55,26,13,5,1,1.71,68,32,590,81-100% free meals,1
1489,395,568,507,61,84,55,Yes,16,20,33,33,47,14,4,2,1.96,78,15,1029,81-100% free meals,1
1493,395,637,622,15,78,30,No,28,19,29,24,25,24,22,5,2.5899999,59,23,891,47-80% free meals,2
1606,401,588,538,50,61,1,No,20,16,26,0,10,36,48,6,3.49,73,19,285,47-80% free meals,3
1866,401,821,793,28,48,9,No,20,18,29,5,17,15,40,23,3.5799999,82,18,393,47-80% free meals,2
1747,401,559,511,48,100,74,No,11,17,27,53,28,12,5,2,1.75,84,8,419,81-100% free meals,1
1905,401,693,663,30,50,4,No,11,18,27,13,42,19,21,5,2.6400001,81,12,353,47-80% free meals,2
1699,401,542,456,86,99,53,No,10,19,30,33,33,20,15,0,2.1600001,67,24,414,81-100% free meals,2
2077,401,840,816,24,33,25,No,11,20,29,0,0,0,0,0,,100,0,276,0-46% free meals,1
1959,401,621,605,16,82,45,No,17,18,25,42,50,8,0,0,1.67,86,11,320,81-100% free meals,1
1914,401,487,489,-2,91,48,Yes,22,18,27,33,32,22,8,5,2.21,72,21,717,81-100% free meals,2
1685,401,686,621,65,62,21,No,10,16,26,10,40,28,19,3,2.6600001,85,15,278,47-80% free meals,3
1757,401,463,438,25,88,75,Yes,24,19,27,48,32,10,11,1,1.85,75,20,631,81-100% free meals,1
2087,401,476,430,46,90,70,Yes,10,18,29,28,43,14,14,1,2.1800001,71,25,852,81-100% free meals,1
1946,401,821,767,54,21,4,No,12,18,29,4,25,22,35,14,3.3099999,76,12,405,0-46% free meals,2
1821,401,412,379,33,100,77,Yes,8,19,29,67,21,8,4,1,1.5,62,28,1264,81-100% free meals,1
1881,401,394,382,12,99,42,Yes,22,17,26,29,35,23,11,3,2.23,68,24,629,81-100% free meals,2
1862,401,815,785,30,24,18,No,15,18,30,10,9,10,32,39,3.8099999,100,0,300,0-46% free meals,1
1932,401,694,631,63,56,24,No,24,18,30,18,36,16,25,5,2.6400001,81,12,361,47-80% free meals,2
1919,401,433,425,8,100,74,Yes,15,19,31,49,29,9,5,8,1.96,50,36,859,81-100% free meals,1
1788,401,560,504,56,72,1,No,26,17,27,3,6,52,27,13,3.3900001,73,19,321,47-80% free meals,3
1664,401,572,535,37,76,44,No,12,18,25,19,26,24,22,8,2.73,90,7,380,47-80% free meals,2
1885,401,605,600,5,68,31,No,15,17,24,11,19,15,52,3,3.1600001,81,19,277,47-80% free meals,2
1682,401,755,716,39,27,2,No,10,16,31,1,18,34,29,19,3.48,84,8,283,0-46% free meals,3
1853,401,475,415,60,95,64,No,21,20,28,32,36,18,11,2,2.1400001,67,29,307,81-100% free meals,2
2082,401,520,476,44,95,53,Yes,27,18,29,43,30,17,7,3,1.97,48,42,1036,81-100% free meals,2
1806,401,406,367,39,100,75,Yes,15,19,32,0,100,0,0,0,2,59,33,699,81-100% free meals,1
1997,401,471,416,55,99,46,Yes,15,19,33,36,27,15,13,9,2.3099999,64,30,743,81-100% free meals,2
1701,401,664,594,70,52,22,No,19,16,31,4,17,28,38,13,3.3900001,64,20,371,47-80% free meals,3
1926,401,457,399,58,91,74,Yes,31,20,28,45,36,11,8,1,1.84,66,23,1059,81-100% free meals,1
1633,401,584,501,83,97,61,No,15,14,25,52,43,2,3,0,1.5599999,86,7,244,81-100% free meals,1
1690,401,735,693,42,71,24,No,10,18,27,7,17,17,31,29,3.5799999,80,7,388,47-80% free meals,2
1696,401,536,508,28,77,9,No,18,19,29,7,25,28,36,4,3.05,50,35,528,47-80% free meals,3
1775,401,771,708,63,31,11,No,16,17,28,10,26,23,26,14,3.0699999,81,15,328,0-46% free meals,2
1673,401,483,436,47,100,76,No,12,19,31,31,33,14,16,5,2.3,59,26,492,81-100% free meals,1
1863,401,387,338,49,96,80,Yes,14,19,28,67,21,7,4,1,1.5,53,32,1013,81-100% free meals,1
1990,401,650,611,39,75,64,Yes,9,20,28,19,24,13,38,6,2.8800001,80,10,848,47-80% free meals,1
1752,401,467,442,25,100,70,No,16,19,28,52,32,9,6,1,1.73,77,17,621,81-100% free meals,1
1782,401,548,512,36,70,59,No,14,16,34,13,31,17,30,9,2.9000001,83,17,336,47-80% free meals,2
1995,401,756,717,39,17,4,No,14,19,31,5,48,10,32,6,2.8499999,90,10,455,0-46% free meals,1
1638,401,440,403,37,97,54,No,20,18,30,26,27,12,32,1,2.55,45,39,1149,81-100% free meals,1
1815,401,581,548,33,100,63,No,23,19,24,43,35,12,8,2,1.92,80,12,290,81-100% free meals,1
1709,401,515,487,28,96,66,No,18,19,27,9,21,18,29,24,3.3800001,61,21,726,81-100% free meals,2
1812,401,917,902,15,6,3,No,8,17,31,1,2,7,37,54,4.4099998,95,0,436,0-46% free meals,1
1742,401,657,615,42,63,23,No,22,16,30,19,19,29,29,3,2.77,63,27,403,47-80% free meals,3
1799,401,723,673,50,41,11,Yes,15,18,31,11,34,19,30,7,2.8699999,85,9,807,0-46% free meals,2
1907,401,506,482,24,79,7,No,24,17,27,46,25,16,12,1,1.96,56,38,637,47-80% free meals,2
1924,401,569,514,55,76,28,No,13,16,24,14,40,22,22,3,2.5999999,73,27,306,47-80% free meals,2
1781,401,466,442,24,94,13,No,16,18,29,8,31,33,25,3,2.8399999,73,29,715,81-100% free meals,3
1897,401,660,624,36,55,31,No,14,18,29,12,20,19,31,18,3.22,80,15,559,47-80% free meals,2
1596,401,536,456,80,95,70,Yes,13,20,29,28,43,19,7,2,2.1199999,61,24,514,81-100% free meals,2
1868,401,486,422,64,96,75,Yes,16,19,30,79,17,3,2,0,1.28,47,53,617,81-100% free meals,1
1909,401,453,423,30,98,53,No,13,18,29,19,36,17,25,4,2.5699999,61,30,570,81-100% free meals,2
1600,401,683,631,52,63,5,No,21,17,28,3,20,22,48,7,3.3699999,64,30,428,47-80% free meals,2
1894,401,459,426,33,99,69,Yes,8,19,24,46,29,13,7,4,1.9400001,77,25,833,81-100% free meals,1
1895,401,456,415,41,95,65,Yes,20,18,29,98,1,1,1,0,1.0599999,58,28,821,81-100% free meals,1
1889,401,612,555,57,83,20,No,19,19,27,2,48,25,15,11,2.8499999,81,6,259,81-100% free meals,3
1741,401,387,365,22,99,75,Yes,21,18,28,23,41,13,16,7,2.4300001,66,28,761,81-100% free meals,1
1769,401,420,407,13,98,91,Yes,31,19,30,49,35,10,6,1,1.75,67,23,1529,81-100% free meals,1
1941,401,495,451,44,96,41,Yes,21,18,29,0,100,0,0,0,2,57,30,1127,81-100% free meals,1
1744,401,552,491,61,97,86,Yes,10,19,28,32,30,21,16,2,2.26,69,27,1009,81-100% free meals,2
1680,401,744,737,7,31,2,No,22,16,29,1,6,21,55,16,3.78,81,11,326,0-46% free meals,2
1858,401,477,424,53,98,56,No,22,19,28,10,48,10,33,0,2.6700001,42,39,446,81-100% free meals,1
2074,401,474,427,47,89,64,No,28,19,27,44,30,18,5,4,1.9400001,75,17,450,81-100% free meals,2
1949,401,696,636,60,66,22,No,17,16,29,11,44,25,19,2,2.5699999,96,11,373,47-80% free meals,3
1903,401,592,489,103,100,67,No,8,18,27,42,21,19,16,3,2.1800001,80,10,443,81-100% free meals,2
1651,401,650,599,51,73,40,No,7,19,29,7,25,16,43,10,3.24,56,33,722,47-80% free meals,2
1723,401,369,354,15,99,83,Yes,16,19,31,74,18,7,1,0,1.34,60,33,1009,81-100% free meals,1
1783,401,437,377,60,99,90,Yes,9,19,28,71,19,5,4,1,1.4400001,65,31,943,81-100% free meals,1
1634,401,551,505,46,76,59,No,16,16,28,0,50,25,25,0,2.75,67,24,167,47-80% free meals,3
2088,401,429,419,10,92,78,Yes,15,19,26,61,23,10,4,3,1.66,62,26,768,81-100% free meals,1
1925,401,435,425,10,98,72,Yes,14,18,27,41,28,17,13,2,2.0599999,73,21,965,81-100% free meals,2
1851,401,747,735,12,47,14,No,19,18,24,7,29,28,25,10,3.02,95,5,239,47-80% free meals,3
1616,401,512,480,32,88,27,No,13,16,22,10,24,35,30,2,2.9000001,85,19,297,81-100% free meals,3
2092,401,474,423,51,98,65,Yes,14,18,28,32,32,23,6,6,2.22,52,33,587,81-100% free meals,2
1652,401,850,832,18,12,5,No,5,18,31,3,5,13,38,41,4.0799999,94,6,235,0-46% free meals,1
1820,401,551,504,47,83,37,Yes,17,19,28,29,37,15,17,3,2.28,76,17,651,81-100% free meals,2
1791,401,482,441,41,100,67,Yes,35,18,29,42,32,17,9,0,1.9299999,75,21,787,81-100% free meals,2
1677,401,534,482,52,100,49,No,22,19,25,43,41,12,3,1,1.77,67,21,259,81-100% free meals,1
1836,401,506,462,44,87,22,No,22,18,23,22,47,25,5,1,2.1300001,72,17,213,81-100% free meals,3
1743,401,556,508,48,86,56,No,18,18,27,46,31,2,16,4,2.02,81,14,372,81-100% free meals,1
1801,401,457,395,62,100,59,Yes,21,19,27,18,52,14,16,0,2.29,79,21,333,81-100% free meals,1
1678,401,497,440,57,95,66,Yes,18,19,30,45,36,11,8,0,1.8200001,67,33,1112,81-100% free meals,1
1731,401,719,684,35,79,48,No,15,19,32,7,19,28,34,13,3.26,69,23,367,47-80% free meals,3
1961,401,582,538,44,89,67,Yes,26,19,27,26,17,16,28,13,2.8399999,68,32,401,81-100% free meals,2
1900,401,486,453,33,96,84,Yes,19,19,26,48,27,13,11,1,1.89,69,27,739,81-100% free meals,1
1740,401,521,452,69,99,64,No,12,18,29,49,25,17,7,1,1.87,79,15,484,81-100% free meals,2
1977,401,386,358,28,96,65,Yes,23,19,25,40,60,0,0,0,1.6,46,42,364,81-100% free meals,1
1952,401,397,333,64,98,84,Yes,8,19,27,33,0,0,67,0,3,54,40,1004,81-100% free meals,1
1625,401,631,604,27,65,18,No,23,18,27,13,24,31,25,6,2.8599999,82,15,464,47-80% free meals,3
1994,401,428,396,32,97,43,Yes,24,19,30,37,30,14,18,1,2.1600001,59,39,922,81-100% free meals,1
1978,401,894,860,34,13,1,No,22,19,26,1,21,19,43,15,3.5,93,5,615,0-46% free meals,2
1805,401,421,399,22,99,86,Yes,9,18,29,67,0,0,0,33,2.3299999,83,12,1081,81-100% free meals,1
1704,401,524,511,13,97,53,Yes,9,17,26,39,29,16,13,2,2.0899999,61,33,338,81-100% free meals,2
